volume_number,year,act_title,act_number,act_id,link
18,1973,"The Chittagong University Act, 1973",XXXIII,440,http://bdlaws.minlaw.gov.bd/act-print-440.html
18,1973,"The Jahangirnagar University Act, 1973",XXXIV,441,http://bdlaws.minlaw.gov.bd/act-print-441.html
18,1973,"The Bangladesh Chartered Accountants Order, 1973 (President's Order)",2,442,http://bdlaws.minlaw.gov.bd/act-print-442.html
18,1973,"The Asian Development Bank Order, 1973 (President's Order)",3,443,http://bdlaws.minlaw.gov.bd/act-print-443.html
18,1973,"The Bangladesh House Building Finance Corporation Order, 1973 (President's Order).",7,444,http://bdlaws.minlaw.gov.bd/act-print-444.html
18,1973,"The Bangladesh Passport Order, 1973 (President's Order).",9,445,http://bdlaws.minlaw.gov.bd/act-print-445.html
18,1973,"The University Grants Commission of Bangladesh Order, 1973 (President's Order)",10,446,http://bdlaws.minlaw.gov.bd/act-print-446.html
18,1973,"The Dhaka University Order, 1973 (President's Order).",11,447,http://bdlaws.minlaw.gov.bd/act-print-447.html
18,1973,"The Bangladesh Laws (Repealing and Amending) Order, 1973 (President's Order).",12,448,http://bdlaws.minlaw.gov.bd/act-print-448.html
18,1973,"The Bangladesh Atomic Energy Commission Order, 1973 (President's Order). [Repealed]",15,449,http://bdlaws.minlaw.gov.bd/act-print-449.html
18,1973,"The Bangladesh National Liberation Struggle (Indemnity) Order, 1973 (President's Order)",16,450,http://bdlaws.minlaw.gov.bd/act-print-450.html
18,1973,"The Trade Marks (Invalidation and Summary Registration) Order, 1973 (President's Order)",19,451,http://bdlaws.minlaw.gov.bd/act-print-451.html
18,1973,"The Bangladesh Wild Life (Preservation) Order, 1973 (President's Order) [Repealed]",23,452,http://bdlaws.minlaw.gov.bd/act-print-452.html
18,1973,"The Bangladesh Red Crescent Society Order, 1973 (President's Order)",26,453,http://bdlaws.minlaw.gov.bd/act-print-453.html
18,1973,"The Bangladesh Krishi Bank Order, 1973 (President's Order)",27,454,http://bdlaws.minlaw.gov.bd/act-print-454.html
18,1973,"The Members of Parliament (Remuneration and Allowances) Order, 1973 (President's Order)",28,455,http://bdlaws.minlaw.gov.bd/act-print-455.html
18,1974,"The Special Police Establishment (Repeal) Act, 1974",II,456,http://bdlaws.minlaw.gov.bd/act-print-456.html
18,1974,"The Transfer of Railways (Repeal) Act, 1974",IV,457,http://bdlaws.minlaw.gov.bd/act-print-457.html
18,1974,"The Primary Schools (Taking Over) Act, 1974",VIII,458,http://bdlaws.minlaw.gov.bd/act-print-458.html
18,1974,"The Bidi (Restriction of Manufacture) (Repeal) Act, 1974",IX,459,http://bdlaws.minlaw.gov.bd/act-print-459.html
18,1974,"The Public Servants (Retirement) Act, 1974  [Repealed]",XII,460,http://bdlaws.minlaw.gov.bd/act-print-460.html
18,1974,"The Bangladesh Jute Research Institute Act, 1974  [Repealed]",XIII,461,http://bdlaws.minlaw.gov.bd/act-print-461.html
18,1974,"The Special Powers Act, 1974",XIV,462,http://bdlaws.minlaw.gov.bd/act-print-462.html
18,1974,"The Refugees Rehabilitation Finance Corporation (Repeal) Act, 1974",XVI,463,http://bdlaws.minlaw.gov.bd/act-print-463.html
18,1974,"The Members of the Bangladesh Public Service Commission (Terms and Conditions of Service) Act, 1974",XXI,464,http://bdlaws.minlaw.gov.bd/act-print-464.html
18,1974,"The Comptroller and Auditor-General (Additional Functions) Act, 1974",XXIV,465,http://bdlaws.minlaw.gov.bd/act-print-465.html
18,1974,"The Press Council Act, 1974",XXV,466,http://bdlaws.minlaw.gov.bd/act-print-466.html
